baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Family,Genus,Comparison
142.5771615,3.549162282,0.679663925,5.221937123,1.77E-07,1.06E-06,Symbiodiniaceae,Durusdinium,Water_v_Sediment
6.726917694,-4.021554479,1.001392257,-4.015963228,5.92E-05,0.000236814,Symbiodiniaceae,Foraminifera_D,Water_v_Sediment
14.40634755,-1.92767011,0.738517891,-2.610187421,0.009049263,0.021718231,Symbiodiniaceae,Fugacium,Water_v_Sediment
1757.009102,4.868050319,0.330380365,14.7346841,3.86E-49,4.63E-48,Symbiodiniaceae,Cladocopium,Water_v_Sediment
3.06253822,-4.441621285,1.594703848,-2.785232689,0.005348932,0.016046797,Symbiodiniaceae,Symbiodinium_I,Water_v_Sediment
5.104260676,-5.681629705,1.661954474,-3.418643407,0.000629341,0.007552097,Symbiodiniaceae,Breviolum,Water_v_Macroalgae
142.5771615,-1.992531867,0.686495086,-2.902470691,0.003702318,0.011106954,Symbiodiniaceae,Durusdinium,Sediment_v_Macroalgae
6.726917694,3.48349288,0.999539984,3.485096079,0.00049196,0.001967841,Symbiodiniaceae,Foraminifera_D,Sediment_v_Macroalgae
25.13903648,2.350694296,0.9016121,2.607212453,0.00912827,0.021907849,Symbiodiniaceae,Freudenthalidium,Sediment_v_Macroalgae
1757.009102,-4.343864597,0.333419545,-13.02822424,8.46E-39,1.01E-37,Symbiodiniaceae,Cladocopium,Sediment_v_Macroalgae
5.104260676,-6.50861336,1.841977682,-3.533491976,0.000410109,0.001967841,Symbiodiniaceae,Breviolum,Sediment_v_Macroalgae
142.5771615,1.464725534,0.599134938,2.444733969,0.014495902,0.034790166,Symbiodiniaceae,Durusdinium,Spawning_v_Summer
14.40634755,1.497143692,0.611412823,2.448662565,0.014338771,0.034790166,Symbiodiniaceae,Fugacium,Spawning_v_Summer
25.13903648,2.838860617,0.680659613,4.17074932,3.04E-05,0.00018216,Symbiodiniaceae,Freudenthalidium,Spawning_v_Summer
2.513510594,3.107119881,1.025730024,3.029179033,0.002452193,0.009808773,Symbiodiniaceae,Halluxium,Spawning_v_Summer
5.104260676,-6.190336384,1.375269208,-4.50118155,6.76E-06,8.11E-05,Symbiodiniaceae,Breviolum,Spawning_v_Summer
