dist,from,to
0.000001,C1,thermophil
0.008327,C1,C7a
0.000001,C1,C90
0.001306,C1,C91
0.003942,C1,C15
0.048269,C1,H1
0.048005,C1,H1a
0.053253,C1,H_1678J
0.048222,C1,H_751
0.047977,C1,H_1286x
0.060728,C1,P1C4_Heron
0.117103,C1,F2
0.121232,C1,F2a
0.132777,C1,F_1335J
0.132883,C1,F_1320J
0.109944,C1,F3.2
0.11249,C1,F3.1a
0.108044,C1,F_5243X
0.108044,C1,F_5244x
0.108767,C1,F_1635
0.110475,C1,F_188X
0.120151,C1,P1G6_Heron
0.108601,C1,P2D2_Heron
0.122389,C1,F4.1
0.124047,C1,F4.8
0.121915,C1,F_1334X
0.12184,C1,F_1628X
0.122315,C1,F_836J
0.115946,C1,F_1349X
0.140246,C1,kawagutii
0.134875,C1,F5.1
0.132288,C1,F5.1d
0.136168,C1,F1
0.133568,C1,F5.2g
0.14038,C1,F_i971X
0.160221,C1,minutum
0.160221,C1,antillogor
0.157714,C1,pseudomin
0.157714,C1,endomadra
0.140833,C1,psygmophil
0.150615,C1,aenigmatic
0.181859,C1,i1
0.181004,C1,i2
0.241383,C1,glynnii
0.235621,C1,D1a
0.246075,C1,D8
0.241383,C1,D15
0.206001,C1,D1.1
0.200815,C1,D1.2
0.336677,C1,G2
0.329186,C1,G2b
0.321005,C1,endoclio
0.321739,C1,spongiol
0.315097,C1,E1
0.312164,C1,voratum
0.359085,C1,microadria
0.337506,C1,pilosum
0.36301,C1,CCMP_832
0.355294,C1,CCMP_2469
0.330542,C1,A2
0.337205,C1,A13
0.3357,C1,A2b
0.347357,C1,A3
0.40151,C1,Psimplex
0.008312,thermophil,C7a
0.000001,thermophil,C90
0.001304,thermophil,C91
0.003935,thermophil,C15
0.048176,thermophil,H1
0.047912,thermophil,H1a
0.053149,thermophil,H_1678J
0.048129,thermophil,H_751
0.047885,thermophil,H_1286x
0.060618,thermophil,P1C4_Heron
0.116877,thermophil,F2
0.120998,thermophil,F2a
0.132516,thermophil,F_1335J
0.132623,thermophil,F_1320J
0.109729,thermophil,F3.2
0.112272,thermophil,F3.1a
0.107833,thermophil,F_5243X
0.107833,thermophil,F_5244x
0.108556,thermophil,F_1635
0.110261,thermophil,F_188X
0.119914,thermophil,P1G6_Heron
0.108388,thermophil,P2D2_Heron
0.122148,thermophil,F4.1
0.123803,thermophil,F4.8
0.121676,thermophil,F_1334X
0.121601,thermophil,F_1628X
0.122075,thermophil,F_836J
0.115719,thermophil,F_1349X
0.139965,thermophil,kawagutii
0.134609,thermophil,F5.1
0.132027,thermophil,F5.1d
0.135896,thermophil,F1
0.133302,thermophil,F5.2g
0.140099,thermophil,F_i971X
0.159875,thermophil,minutum
0.159875,thermophil,antillogor
0.157374,thermophil,pseudomin
0.157374,thermophil,endomadra
0.140547,thermophil,psygmophil
0.150291,thermophil,aenigmatic
0.181479,thermophil,i1
0.180627,thermophil,i2
0.240859,thermophil,glynnii
0.235115,thermophil,D1a
0.245519,thermophil,D8
0.240859,thermophil,D15
0.205547,thermophil,D1.1
0.200372,thermophil,D1.2
0.335895,thermophil,G2
0.328423,thermophil,G2b
0.320265,thermophil,endoclio
0.320995,thermophil,spongiol
0.31439,thermophil,E1
0.311463,thermophil,voratum
0.358222,thermophil,microadria
0.336726,thermophil,pilosum
0.362133,thermophil,CCMP_832
0.354442,thermophil,CCMP_2469
0.329785,thermophil,A2
0.336436,thermophil,A13
0.334926,thermophil,A2b
0.346559,thermophil,A3
0.400535,thermophil,Psimplex
0.008312,C7a,C90
0.009727,C7a,C91
0.012582,C7a,C15
0.060186,C7a,H1
0.059848,C7a,H1a
0.065633,C7a,H_1678J
0.060064,C7a,H_751
0.059809,C7a,H_1286x
0.074642,C7a,P1C4_Heron
0.128292,C7a,F2
0.132771,C7a,F2a
0.14276,C7a,F_1335J
0.142865,C7a,F_1320J
0.126738,C7a,F3.2
0.125599,C7a,F3.1a
0.124668,C7a,F_5243X
0.124668,C7a,F_5244x
0.121576,C7a,F_1635
0.123402,C7a,F_188X
0.136303,C7a,P1G6_Heron
0.123672,C7a,P2D2_Heron
0.129576,C7a,F4.1
0.129171,C7a,F4.8
0.126849,C7a,F_1334X
0.12681,C7a,F_1628X
0.127288,C7a,F_836J
0.122663,C7a,F_1349X
0.15038,C7a,kawagutii
0.137997,C7a,F5.1
0.139553,C7a,F5.1d
0.146001,C7a,F1
0.143195,C7a,F5.2g
0.146072,C7a,F_i971X
0.170664,C7a,minutum
0.170664,C7a,antillogor
0.168083,C7a,pseudomin
0.168083,C7a,endomadra
0.15939,C7a,psygmophil
0.160789,C7a,aenigmatic
0.205378,C7a,i1
0.204377,C7a,i2
0.260873,C7a,glynnii
0.257543,C7a,D1a
0.257543,C7a,D8
0.260873,C7a,D15
0.225994,C7a,D1.1
0.220311,C7a,D1.2
0.370677,C7a,G2
0.362341,C7a,G2b
0.344808,C7a,endoclio
0.345682,C7a,spongiol
0.345983,C7a,E1
0.342768,C7a,voratum
0.369477,C7a,microadria
0.358477,C7a,pilosum
0.373544,C7a,CCMP_832
0.365599,C7a,CCMP_2469
0.358477,C7a,A2
0.365599,C7a,A13
0.36429,C7a,A2b
0.376944,C7a,A3
0.443393,C7a,Psimplex
0.001304,C90,C91
0.003935,C90,C15
0.048176,C90,H1
0.047912,C90,H1a
0.053149,C90,H_1678J
0.048129,C90,H_751
0.047885,C90,H_1286x
0.060618,C90,P1C4_Heron
0.116877,C90,F2
0.120998,C90,F2a
0.132516,C90,F_1335J
0.132623,C90,F_1320J
0.109729,C90,F3.2
0.112272,C90,F3.1a
0.107833,C90,F_5243X
0.107833,C90,F_5244x
0.108556,C90,F_1635
0.110261,C90,F_188X
0.119914,C90,P1G6_Heron
0.108388,C90,P2D2_Heron
0.122148,C90,F4.1
0.123803,C90,F4.8
0.121676,C90,F_1334X
0.121601,C90,F_1628X
0.122075,C90,F_836J
0.115719,C90,F_1349X
0.139965,C90,kawagutii
0.134609,C90,F5.1
0.132027,C90,F5.1d
0.135896,C90,F1
0.133302,C90,F5.2g
0.140099,C90,F_i971X
0.159875,C90,minutum
0.159875,C90,antillogor
0.157374,C90,pseudomin
0.157374,C90,endomadra
0.140547,C90,psygmophil
0.150291,C90,aenigmatic
0.181479,C90,i1
0.180627,C90,i2
0.240859,C90,glynnii
0.235115,C90,D1a
0.245519,C90,D8
0.240859,C90,D15
0.205547,C90,D1.1
0.200372,C90,D1.2
0.335895,C90,G2
0.328423,C90,G2b
0.320265,C90,endoclio
0.320995,C90,spongiol
0.31439,C90,E1
0.311463,C90,voratum
0.358222,C90,microadria
0.336726,C90,pilosum
0.362133,C90,CCMP_832
0.354442,C90,CCMP_2469
0.329785,C90,A2
0.336436,C90,A13
0.334926,C90,A2b
0.346559,C90,A3
0.400535,C90,Psimplex
0.002616,C91,C15
0.048176,C91,H1
0.047912,C91,H1a
0.053149,C91,H_1678J
0.048129,C91,H_751
