Sample_ID,Full,Type,Specific,Season,Site,Replicate,Water,Reseq_pairs,Culture_clade,Culture_genus,Sequenced_clade,Sequenced_genus,Match_expected,Heron_study,Symbiodinium_network,Durusdinium_network,Fugacium_network
CCMP_2430,CCMP_2430,Culture,CCMP_2430,x,x,x,x,x,clade A,Symbiodinium,clade A,Symbiodinium,y,y,y,n,n
CCMP_2434,CCMP_2434,Culture,CCMP_2434,x,x,x,x,x,clade F,Fugacium,clade F,Fugacium,y,y,n,n,y
CCMP_2461,CCMP_2461,Culture,CCMP_2461,x,x,x,x,x,clade A,Symbiodinium,clade A,Symbiodinium,y,y,y,n,n
CCMP_2469,CCMP_2469,Culture,CCMP_2469,x,x,x,x,x,clade A,Symbiodinium,clade A,Symbiodinium,y,y,y,n,n
CCMP_2548,CCMP_2548,Culture,CCMP_2548,x,x,x,x,x,clade A,Symbiodinium,clade A,Symbiodinium,y,y,y,n,n
CCMP_2556,CCMP_2556,Culture,CCMP_2556,x,x,x,x,x,clade D,Durusdinium,clade D,Durusdinium,y,y,n,y,n
CCMP_2592,CCMP_2592,Culture,CCMP_2592,x,x,x,x,x,clade A,Symbiodinium,clade A,Symbiodinium,y,y,y,n,n
Cult_133,Cult_133,Culture,Cult_133,x,x,x,x,x,clade F,Fugacium,clade F,Fugacium,y,y,n,n,y
Cult_135,Cult_135,Culture,Cult_135,x,x,x,x,x,clade F,Fugacium,clade F,Fugacium,y,y,n,n,y
Cult_152,Cult_152,Culture,Cult_152,x,x,x,x,x,clade C,Cladocopium,clade B,Breviolum,n,y,n,n,n
Cult_24_Sugget,Cult_24_Sugget,Culture,Cult_24_Sugget,x,x,x,x,x,clade A,Symbiodinium,clade A,Symbiodinium,y,y,y,n,n
Cult_28_Sugget,Cult_28_Sugget,Culture,Cult_28_Sugget,x,x,x,x,x,clade A,Symbiodinium,clade A,Symbiodinium,y,y,y,n,n
Cult_29_Sugget,Cult_29_Sugget,Culture,Cult_29_Sugget,x,x,x,x,x,clade A,Symbiodinium,clade A,Symbiodinium,y,y,y,n,n
