Year,Season,Habitat,Site,Replicate,Cells_cm3,Genus
2015,Spawning,Water,1,A,0.26373206,Symbiodinium
2015,Spawning,Water,1,B,0.211460494,Symbiodinium
2015,Spawning,Water,1,C,0.232818159,Symbiodinium
2015,Spawning,Water,1,D,0.145990262,Symbiodinium
2015,Spawning,Water,2,A,0.239637213,Symbiodinium
2015,Spawning,Water,2,B,0.314042134,Symbiodinium
2015,Spawning,Water,2,C,0.378541348,Symbiodinium
2015,Spawning,Water,2,D,0.160101894,Symbiodinium
2015,Spawning,Water,3,A,0.677001869,Symbiodinium
2015,Spawning,Water,3,B,0.779918437,Symbiodinium
2015,Spawning,Water,3,C,1.146435497,Symbiodinium
2015,Spawning,Water,3,D,1.511742462,Symbiodinium
2015,Spawning,Sediment,1,A,106.1024822,Symbiodinium
2015,Spawning,Sediment,1,B,79.70378564,Symbiodinium
2015,Spawning,Sediment,1,C,49.95001446,Symbiodinium
2015,Spawning,Sediment,1,D,54.02272872,Symbiodinium
2015,Spawning,Sediment,2,A,127.9730785,Symbiodinium
2015,Spawning,Sediment,2,B,101.2127642,Symbiodinium
2015,Spawning,Sediment,2,C,75.78766026,Symbiodinium
2015,Spawning,Sediment,2,D,67.05864628,Symbiodinium
2015,Spawning,Sediment,3,A,73.01439114,Symbiodinium
2015,Spawning,Sediment,3,B,43.08202402,Symbiodinium
2015,Spawning,Sediment,3,C,22.4088552,Symbiodinium
2015,Spawning,Sediment,3,D,78.60483696,Symbiodinium
2015,Spawning,Macroalgae,1,A,268.7848397,Symbiodinium
2015,Spawning,Macroalgae,1,B,168.4906743,Symbiodinium
2015,Spawning,Macroalgae,1,C,214.429532,Symbiodinium
2015,Spawning,Macroalgae,1,D,145.0518483,Symbiodinium
2015,Spawning,Macroalgae,2,A,448.7359551,Symbiodinium
2015,Spawning,Macroalgae,2,B,258.6756353,Symbiodinium
2015,Spawning,Macroalgae,2,C,237.5649017,Symbiodinium
2015,Spawning,Macroalgae,2,D,237.1102969,Symbiodinium
2015,Spawning,Macroalgae,3,A,237.8173337,Symbiodinium
2015,Spawning,Macroalgae,3,B,262.115259,Symbiodinium
2015,Spawning,Macroalgae,3,C,268.5607051,Symbiodinium
2015,Spawning,Macroalgae,3,D,274.0491465,Symbiodinium
2016,Summer,Water,1,A,0.146511171,Symbiodinium
2016,Summer,Water,1,B,0.589502299,Symbiodinium
2016,Summer,Water,1,C,0.281149047,Symbiodinium
2016,Summer,Water,1,D,0.240587057,Symbiodinium
2016,Summer,Water,2,A,0.38777343,Symbiodinium
2016,Summer,Water,2,B,0.413165931,Symbiodinium
2016,Summer,Water,2,C,0.561729684,Symbiodinium
2016,Summer,Water,2,D,0.701002605,Symbiodinium
2016,Summer,Water,3,A,1.741996125,Symbiodinium
2016,Summer,Water,3,B,0.226983897,Symbiodinium
2016,Summer,Water,3,C,0.176530976,Symbiodinium
2016,Summer,Water,3,D,0.287082999,Symbiodinium
2016,Summer,Sediment,1,A,108.7468932,Symbiodinium
2016,Summer,Sediment,1,B,80.88797075,Symbiodinium
2016,Summer,Sediment,1,C,47.36598245,Symbiodinium
2016,Summer,Sediment,1,D,121.8856084,Symbiodinium
2016,Summer,Sediment,2,A,125.4860341,Symbiodinium
2016,Summer,Sediment,2,B,74.37579098,Symbiodinium
2016,Summer,Sediment,2,C,91.32521969,Symbiodinium
2016,Summer,Sediment,2,D,36.35608477,Symbiodinium
2016,Summer,Sediment,3,A,45.81153781,Symbiodinium
2016,Summer,Sediment,3,B,48.17527451,Symbiodinium
2016,Summer,Sediment,3,C,40.33053432,Symbiodinium
2016,Summer,Sediment,3,D,37.57662729,Symbiodinium
2016,Summer,Macroalgae,1,A,150.9942165,Symbiodinium
2016,Summer,Macroalgae,1,B,153.1315979,Symbiodinium
2016,Summer,Macroalgae,1,C,119.4545124,Symbiodinium
2016,Summer,Macroalgae,1,D,151.2779801,Symbiodinium
2016,Summer,Macroalgae,2,A,125.6459916,Symbiodinium
2016,Summer,Macroalgae,2,B,151.972358,Symbiodinium
2016,Summer,Macroalgae,2,C,112.3259244,Symbiodinium
2016,Summer,Macroalgae,2,D,110.9637673,Symbiodinium
2016,Summer,Macroalgae,3,A,97.95573115,Symbiodinium
2016,Summer,Macroalgae,3,B,57.88840851,Symbiodinium
2016,Summer,Macroalgae,3,C,106.4667176,Symbiodinium
2016,Summer,Macroalgae,3,D,70.37776523,Symbiodinium
