sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24
Heron_2015_Coral_(Acropora)_site_1_a,77433.0,0.05039289591158257,-0.10433266808956587,0.0020753583838018152,0.024798356902833635,-0.010594632554926747,-0.002869389813488442,0.000424225132597256,-0.0007564260651652223,0.0006878274217173559,-6.444269148443952e-05,0.0038731965930106013,-0.002590502140773906,0.00028515318272583057,-8.958260858612175e-05,-1.0927831848962698e-06,-1.9157666179393577e-05,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
Heron_2015_Coral_(Acropora)_site_1_b,77434.0,0.053553821529996104,-0.11391323123305733,0.001243631805731433,0.007564040917046636,-0.0031085612741609783,-0.0005518966848561799,0.0002380739143628375,-0.0006020560880861464,0.0005821675824690477,-0.0001631819481101751,-0.006761968538030685,0.0036850097152492027,0.0027099847320324754,-5.6105891915353334e-05,2.2638567592520438e-05,-4.7078753798916216e-05,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
Heron_2015_Coral_(Acropora)_site_1_c,77435.0,0.05424735271140678,-0.11598574284946084,0.0008433656481990149,-0.0008014149813455568,0.000861543246660888,0.000819874826439218,-0.00012473986244312417,0.00011350252358422048,-0.00027515961350894143,9.038266716131129e-05,0.0004962275151303297,0.0003904339362919272,0.001626996419917782,-0.00036074310724046506,-5.153321612889346e-05,0.00010364441848314987,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
Heron_2015_Coral_(Acropora)_site_1_d,77436.0,0.053766798441579396,-0.1146539646701166,0.0010682205648925693,0.0038908135111537286,-0.0013773301471304423,-9.947785923139609e-06,3.7146792157730206e-05,-0.00028281374523593473,0.00018019379020812147,-6.593205243544141e-05,-0.00013927649154190237,-0.0003221499432766768,-0.0008532053033382933,0.00039051382760085524,-3.6471951630991304e-05,3.427791790683048e-05,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
Heron_2016_Coral_(Acropora)_site_1_b,77446.0,0.05829584943147324,-0.11253575713008014,-0.005625623835301863,-0.012646844574515391,0.001720611487084783,-0.0030569840733175283,-3.374237794360203e-05,-0.0006368752075670056,0.0011201391017405383,-0.0007967967420707064,-0.00021695935344487492,-0.002813975557432321,0.0012487464442911334,0.0008055923506196786,-1.7300090079163663e-06,-3.521460128338135e-05,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
Heron_2016_Coral_(Acropora)_site_1_c,77447.0,0.05545993012125017,-0.1191788756824888,0.0003048218031150554,-0.01074658804084672,0.005484024972714118,0.0023598650003191233,-0.0003282726677018486,0.0008842606256631645,-0.0010353966458759116,0.00039099809190200287,0.0030555400702240052,-0.00018244313385135273,0.0009999613353722941,-0.0004970557330251993,-1.7200394364860342e-05,-0.00019663796088523802,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
Heron_2016_Coral_(Acropora)_site_1_d,77448.0,0.05489288736994895,-0.11762832191668957,0.0004041359495140421,-0.00982634330347577,0.005268162808416752,0.002481506392363472,-0.00045450131178188883,0.0010087440935423787,-0.0012549906654137004,0.00043671866012062337,0.002213025077608773,0.0010186754444767314,0.00017992318467283862,-0.00040349316977228764,3.8287241464509914e-05,0.00018811750468877692,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
Heron_2016_Coral_(Acropora)_site_1_a,77445.0,0.05512093927511107,-0.11839331133927769,0.0007974027130177414,-0.0006991170263868716,0.0004919194492543324,0.0005322759401238046,0.0002052886977037706,-0.0003252894660009225,0.0003430293923948867,0.00011720115053794933,-0.0023905428131945072,0.0006221212079559744,-0.006076848765193156,0.00016344431436005202,3.765228207036314e-05,-1.8625122424181668e-05,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
Heron_2015_Coral_(Pocillopora)_site_3_a,77441.0,0.12597484560792138,0.08952668426277285,0.0029301582146354114,-0.005463211577189461,-0.009284978726535458,-0.012336315643718407,0.0003369353467130512,0.00583922863807098,0.0015832333242439352,0.0015702749830837004,0.0023638265104183242,0.004532657324516485,-0.0004270467711425416,-0.0007953238400192944,-4.541481886942285e-05,7.537414072404159e-05,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
Heron_2015_Coral_(Pocillopora)_site_3_b,77442.0,0.11195778426648018,0.09222551783139783,0.00961186427838471,-0.008112137902731808,-0.005351811546068629,-0.0033680632565510926,0.0024211188218067783,-0.010766587089454957,0.008337949044139578,-0.0007172097048832462,-0.0012803698825147936,-0.0026285263284259257,6.429434712751722e-05,-0.0008303780737867714,-8.048495681828446e-05,5.917247903294846e-05,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
