sample_uid	sample_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodinium_seqs	post_taxa_id_unique_symbiodinium_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodinium_seqs	post_taxa_id_unique_non_symbiodinium_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	452757_A	64887_A	C15	C50b	C42a	C50p	C42.2	C3	C1	C15dq	C15dr	C1b	95462_C	C15ch	91820_C	C1j	91_C	C1au	C50f	C50v	C3bm	18327_C	C115k	29139_C	C21	20926_C	70528_C	4104_C	C3cg	43238_C	C3b	43271_C	43270_C	452755_C	21705_C	118_C	7951_C	20925_C	141_C	C3dt	1932_C	43269_C	32453_C	21767_C	452753_C	451874_C	20938_C	C1h	C15ab	58_C	12_C	20928_C	C45c	8938_C	54_C	95_C	411_C	566_C	452758_C	104_C	90687_C	183_C	133_C	452574_C	C15v	33774_C	85_C	98_C	92122_C	21933_C	20962_C	10941_C	452759_C	92120_C	227_C	19468_C	43285_C	22189_C	9162_C	46_C	20942_C	452437_C	70625_C	452754_C	452756_C	266595_C	354_C	90545_C	20941_C	270451_C	C3.10	C1az	452761_C	21008_C	C50a	8649_C	452752_C	54423_C	90844_C	93081_C	20934_C	43280_C	21719_C	287_C	63457_C	C115d	43281_C	452760_C	92827_C
77450	Heron_2016_Coral_(Montipora)_site_2_b	1.3286974452972848	1.1971359835032649	0.015076182838813151	1.1971359835032649	0.015076182838813151	0.0	0.0	0.0	0.0	1.0	0.0002291213197388017	0	0	0.06222935044105854	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Montipora	digitata	-23.44382100	151.91436500	15.03.16	2	0	0	0.7163248940313897	0	0	0	0	0	0	0.09623095429029671	0.07473937449879711	0	0	0.04289151105510368	0	0	0	0	0	0	0	0.020598006644518274	0	0.016107228777637757	0	0	0	0.011181120403253524	0	0	0	0	0	0	0	0	0	0	0	0	0.008500400962309543	0	0	0	0	0.005842593653339443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007583915683354336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77452	Heron_2016_Coral_(Montipora)_site_2_d	1.3948144553124766	1.2362801463451056	0.0170238184126036	1.2362801463451056	0.0170238184126036	0.0	0.0	0.0	0.0	1.0	0.00018666467557679385	0	0	0.0646606436198014	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Montipora	digitata	-23.44382100	151.91436500	15.03.16	2	0	0	0.7018591801687448	0	0	0	0	0	0	0.10464421712835063	0.07957515119838722	0	0	0.04198088553722094	0	0	0	0	0	0	0	0.025610393489136116	0	0.015885163891585157	0	0	0	0.01004255954603151	0	0	0	0	0	0	0	0	0	0	0	0	0.007149257074591205	0	0	0	0	0.005973269618457403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00727992234749496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77439	Heron_2015_Coral_(Montipora)_site_2_c	1.3600057019315293	1.2035351975481694	0.014825021976194435	1.2035351975481694	0.014825021976194435	0.0	0.0	0.0	0.0	1.0	0.0002613385284265045	0	0	0.06740158228599938	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Montipora	digitata	-23.44382100	151.91436500	30.12.15	2	0	0	0.7597348601838873	0	0	0	0	0	0	0.07274714309472334	0.06179468294884892	0	0	0.03143189755529686	0	0	0	0	0	0	0	0.01736713311634316	0	0.01615547266636573	0	0	0	0.009455703119431707	0	0	0	0	0	0	0	0	0.00962200945570312	0	0	0	0.006866075883205436	0	0.007935188044950227	0	0	0	0	0	0.006889833931244209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77440	Heron_2015_Coral_(Montipora)_site_2_d	1.3445563247325363	1.1919446192573946	0.013432190056639396	1.1919446192573946	0.013432190056639396	0.0	0.0	0.0	0.0	1.0	0.00023599748269351794	0	0	0.07146790434235369	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Montipora	digitata	-23.44382100	151.91436500	30.12.15	2	0	0	0.7526353052234109	0	0	0	0	0	0	0.07115324103209565	0.06344398993077408	0	0	0.03608794839521712	0	0	0	0	0	0	0	0.014631843926998112	0	0.016618156073001888	0	0	0	0.008377910635619887	0	0	0	0	0	0	0	0	0.011406544996853367	0	0	0	0.008181246066708621	0	0.007492920075519194	0	0	0.004759282567652612	0	0	0.005211611076148521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77438	Heron_2015_Coral_(Montipora)_site_2_b	1.433444380069525	1.2079953650057937	0.015570683661645423	1.2079953650057937	0.015570683661645423	0.0	0.0	0.0	0.0	1.0	0.00028968713789107763	0	0	0.07329084588644263	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Montipora	digitata	-23.44382100	151.91436500	30.12.15	2	0	0	0.7508690614136733	0	0	0	0	0	0	0.07008014677481653	0.06274140594824257	0	0	0.0358246427191966	0	0	0	0	0	0	0	0.016174198532251834	0	0.016198339127076092	0	0	0	0.008787176516029355	0	0	0	0	0	0	0	0	0.01067014291232136	0	0	0	0.005793742757821553	0	0.009583816145229818	0	0	0.00608342989571263	0	0	0.007193897257628428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77449	Heron_2016_Coral_(Montipora)_site_2_a	1.3559341735996944	1.1964164134243345	0.012969328617213836	1.1964164134243345	0.012969328617213836	0.0	0.0	0.0	0.0	1.0	0.000215878709377439	9.963632740497185e-05	0	0.08407645427522875	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Montipora	digitata	-23.44382100	151.91436500	15.03.16	2	0	9.963632740497185e-05	0.7479533037745562	0	0	0	0	0	0	0.08698251382454043	0.06544446105049902	0	0	0.015443630747770637	0	0	0	0	0	0	0	0.017253690695627627	0	0.00807054251980272	0	0	0	0.009465451103472326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008386057556585131	0	0	0	0	0	0	0	0	0	0	0	0	0.018648599279297233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008834421029907504	0	0	0.0078048456467227955	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005612846443813414	0	0	0	0	0	0	0	0	0	0	0	0	0
77451	Heron_2016_Coral_(Montipora)_site_2_c	1.2781269641734758	1.1600321251484043	0.012012012012012012	1.1600321251484043	0.012012012012012012	0.0	0.0	0.0	0.0	1.0	0.00020951183741881415	0	0	0.0798414693763531	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Montipora	digitata	-23.44382100	151.91436500	15.03.16	2	0	0	0.7363642712479922	0	0	0	0	0	0	0.08104616244151128	0.06353446469725539	0	0	0.0325790907186256	0	0	0	0	0	0	0	0.01731964522662197	0	0.02056707870661359	0	0	0	0.010493051190725609	0	0	0	0	0	0	0	0	0.011348557860185767	0	0	0	0.0064424890006285354	0	0.0072106990711641875	0	0	0.006459948320413436	0	0	0.0066345415182624485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77437	Heron_2015_Coral_(Montipora)_site_2_a	1.5243146820051694	1.1561760530052059	0.008664312497724707	1.1560741199169973	0.008642469693108595	2.184280461611271e-05	7.28093487203757e-06	8.009028359241327e-05	1.456186974407514e-05	1.0	9.46521533364884e-05	0	0	0.10099384761003313	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Montipora	digitata	-23.44382100	151.91436500	30.12.15	2	0	0	0.7128326477119662	0	0	0	0	0	0	0.08225272124940843	0.06045360224252794	0	0	0.038450617059230405	0	0	0	0	0	0	0	0.015457424733335761	0	0.014401689176890312	0	0	0	0.009130292329535113	0	0	0	0	0	0	0	0	0.010360770322909461	0	0	0	0.005599038916596891	0	0.008707998106956933	0	0	0	0	0	0.005016564126833886	0	0	0	0	0.026553569478321017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010783064545487641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77442	Heron_2015_Coral_(Pocillopora)_site_3_b	1.6859933580777495	1.3285407306114476	0.02777886305919125	1.3285407306114476	0.02777886305919125	0.0	0.0	0.0	0.0	1.0	0.0008986130103535847	0	0	0.09306505176792342	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	damicornis	-23.44382100	151.91436500	30.12.15	2	0	0	0.01832389138503614	0	0.4428208634498926	0	0.13697987888259425	0.017347138112912677	0.13190076186755226	0	0	0.05887868724360227	0	0	0	0.027974213713615942	0.015354561437780816	0.02848212541512014	0	0	0	0	0.01781597968353194	0	0	0	0	0	0.012307091228755616	0.010197304160968939	0	0.010627075600703263	0.005430748193006447	0	0.009845672983004494	0.007970306700527447	0	0	0	0	0	0	0	0.005626098847431139	0.005547958585661262	0	0	0.006055870287165462	0	0	0	0	0.008048446962297324	0	0	0	0	0	0	0	0	0	0.007970306700527447	0	0	0.007618675522563001	0	0	0	0.00687634303574917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77453	Heron_2016_Coral_(Pocillopora)_site_3_a	1.7166272044415414	1.3481588830829523	0.02392227302416721	1.3481588830829523	0.02392227302416721	0.0	0.0	0.0	0.0	1.0	0.0004490529065969954	0	0	0.14092096668843893	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	damicornis	-23.44382100	151.91436500	15.03.16	2	0	0	0	0	0.4136185499673416	0	0.16766002612671457	0.017125244937949053	0.14492161985630306	0	0	0.04402759634225996	0	0	0	0.027677988242978447	0.03994529719137818	0.021146309601567603	0	0	0	0	0.01281841933376878	0	0	0	0	0	0.010083278902677989	0.009715871979098628	0	0.007838014369693011	0.009593403004572175	0.01116508817766166	0.008062540822991508	0.008491182233834096	0	0	0	0	0	0	0	0	0.005551926845199217	0	0	0	0	0	0.006266329196603527	0	0	0	0	0	0.014308458523840627	0.005572338340953625	0	0	0	0	0	0	0	0	0	0.0080421293272371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006368386675375572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77444	Heron_2015_Coral_(Pocillopora)_site_3_d	1.6399589388945919	1.3605273110378735	0.026770760170727752	1.3605273110378735	0.026770760170727752	0.0	0.0	0.0	0.0	1.0	0.0004862499324652872	0	0	0.17302393430223134	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	damicornis	-23.44382100	151.91436500	30.12.15	2	0	0	0	0	0.48965368199254417	0	0.12002269166351505	0.011778053919714733	0.10359824950024313	0	0	0.03673888378626614	0	0	0	0.03511805067804852	0.03468582851585715	0.013831109190123723	0	0	0	0	0.01013020692636015	0	0	0	0.08163596088389433	0	0.0061051380409530495	0.009941109730401427	0	0.0072397212167053865	0.010616456858825436	0	0.00813117942622508	0	0	0	0	0	0	0	0	0.007131665676157545	0.007807012804581555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005834999189583446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
